DOI,Cited_in_proteins,Protein_page
10.1038##NATURE12179,no,
10.1038##NATURE13293,no,
10.1038##NATURE14981,no,
10.1038##NATURE18966,no,
10.1038##NCOMMS12677,no,
10.1038##NCOMMS3465,no,
10.1038##NCOMMS4690,no,
10.1038##NSMB.1434,no,
10.1038##NSMB.1678,no,
10.1038##NSMB.1933,no,
10.1038##NSMB.2721,no,
10.1038##NSMB.2894,no,
10.1038##NSMB.3120,no,
10.1038##SJ.EMBOJ.7600585,no,
10.1038##SJ.EMBOJ.7601028,no,
10.1038##SJ.EMBOJ.7601135,no,
10.1038##cr.2014.144,no,
10.1038##cr.2015.94,no,
10.1038##cr.2017.83,no,
10.1038##emboj.2009.310,no,
10.1038##emboj.2010.243,no,
10.1038##emboj.2013.17,no,
10.1038##emboj.2013.250,no,
10.1038##embor.2009.202,no,
10.1038##embor.2013.107,no,
10.1038##nature00944,no,
10.1038##nature01580,no,
10.1038##nature02373,no,
10.1038##nature02680,no,
10.1038##nature03311,no,
10.1038##nature03692,no,
10.1038##nature03978,no,
10.1038##nature04224,no,
10.1038##nature04316,no,
10.1038##nature04508,no,
10.1038##nature05455,no,
10.1038##nature06093,no,
10.1038##nature06163,no,
10.1038##nature06264,no,
10.1038##nature06325,no,
10.1038##nature06418,no,
10.1038##nature06925,no,
10.1038##nature07461,no,
10.1038##nature08156,no,
10.1038##nature08198,no,
10.1038##nature08201,no,
10.1038##nature08558,no,
10.1038##nature08650,no,
10.1038##nature08720,no,
10.1038##nature08741,no,
10.1038##nature09136,no,
10.1038##nature09408,no,
10.1038##nature09487,no,
10.1038##nature09488,no,
10.1038##nature09743,no,
10.1038##nature09939,no,
10.1038##nature10218,no,
10.1038##nature10238,no,
10.1038##nature10361,no,
10.1038##nature10737,no,
10.1038##nature10753,no,
10.1038##nature10867,no,
10.1038##nature10881,no,
10.1038##nature10917,no,
10.1038##nature11010,no,
10.1038##nature11375,no,
10.1038##nature11403,no,
10.1038##nature11448,no,
10.1038##nature11524,no,
10.1038##nature11558,no,
10.1038##nature11701,no,
10.1038##nature11744,no,
10.1038##nature11900,no,
10.1038##nature12055,no,
10.1038##nature12056,no,
10.1038##nature12167,no,
10.1038##nature12232,no,
10.1038##nature12300,no,
10.1038##nature12357,no,
10.1038##nature12484,no,
10.1038##nature12533,no,
10.1038##nature12648,no,
10.1038##nature12735,no,
10.1038##nature12775,no,
10.1038##nature12944,no,
10.1038##nature13015,no,
10.1038##nature13074,no,
10.1038##nature13083,no,
10.1038##nature13306,no,
10.1038##nature13396,no,
10.1038##nature13419,no,
10.1038##nature13453,no,
10.1038##nature13548,no,
10.1038##nature13552,no,
10.1038##nature13670,no,
10.1038##nature13984,no,
10.1038##nature14158,no,
10.1038##nature14287,no,
10.1038##nature14431,no,
10.1038##nature14549,no,
10.1038##nature14656,no,
10.1038##nature14886,no,
10.1038##nature14972,no,
10.1038##nature16949,no,
10.1038##nature17188,no,
10.1038##nature17391,no,
10.1038##nature17414,no,
10.1038##nature17629,no,
10.1038##nature17679,no,
10.1038##nature17975,no,
10.1038##nature17991,no,
10.1038##nature19102,no,
10.1038##nature19367,no,
10.1038##nature19757,no,
10.1038##nature19767,no,
10.1038##nature19785,no,
10.1038##nature20605,no,
10.1038##nature20613,no,
10.1038##nature21400,no,
10.1038##nature21714,no,
10.1038##nature22035,no,
10.1038##nature22309,no,
10.1038##nature22800,no,
10.1038##nature22988,no,
10.1038##nature23652,no,
10.1038##nature24464,no,
10.1038##nature25025,no,
10.1038##nature25439,no,
10.1038##nature25758,no,
10.1038##nature25985,no,
10.1038##nchembio.2547,no,
10.1038##ncomms11673,no,
10.1038##ncomms13411,no,
10.1038##ncomms13420,no,
10.1038##ncomms13596,no,
